relative_path,name,bytes,matched_reference_norm
COLEÇÃO - 2020\160-1-CB12.jpg,160-1-CB12.jpg,84183,1601
COLEÇÃO - 2020\160-1-CB12_A.jpg,160-1-CB12_A.jpg,125688,1601
COLEÇÃO - 2020\160-1-CB12_B.jpg,160-1-CB12_B.jpg,128862,1601
COLEÇÃO - 2020\160-1-CB12_C.jpg,160-1-CB12_C.jpg,136892,1601
COLEÇÃO - 2020\160-1-CB12_D.jpg,160-1-CB12_D.jpg,149900,1601
COLEÇÃO - 2020\160-1-CB12_E.jpg,160-1-CB12_E.jpg,137148,1601
COLEÇÃO - 2020\160-1-CB13.jpg,160-1-CB13.jpg,110483,1601
COLEÇÃO - 2020\160-1-CB20.jpg,160-1-CB20.jpg,138250,1601
COLEÇÃO - 2020\160-1-CB21.jpg,160-1-CB21.jpg,140230,1601
COLEÇÃO - 2020\2136-CB12.jpg,2136-CB12.jpg,134672,2136
COLEÇÃO - 2020\2136-CB12_A.jpg,2136-CB12_A.jpg,160272,2136
COLEÇÃO - 2020\2136-CB12_B.jpg,2136-CB12_B.jpg,145749,2136
COLEÇÃO - 2020\2136-CB12_C.jpg,2136-CB12_C.jpg,142203,2136
COLEÇÃO - 2020\2136-CB12_D.jpg,2136-CB12_D.jpg,97111,2136
COLEÇÃO - 2020\2136-CB12_E.jpg,2136-CB12_E.jpg,109208,2136
COLEÇÃO - 2020\2136-CB19.jpg,2136-CB19.jpg,117147,2136
COLEÇÃO - 2020\2136-CB34.jpg,2136-CB34.jpg,147773,2136
COLEÇÃO - 2020\2136-CB40.jpg,2136-CB40.jpg,105625,2136
COLEÇÃO - 2020\2136-CB41.jpg,2136-CB41.jpg,135324,2136
COLEÇÃO - 2020\2136-CB42.jpg,2136-CB42.jpg,140819,2136
COLEÇÃO - 2020\2136-CB42_A.JPG,2136-CB42_A.JPG,92008,2136
COLEÇÃO - 2020\2136-CB42_B.JPG,2136-CB42_B.JPG,105825,2136
COLEÇÃO - 2020\2136-CB42_C.JPG,2136-CB42_C.JPG,112455,2136
COLEÇÃO - 2020\2136-CB42_D.JPG,2136-CB42_D.JPG,121346,2136
COLEÇÃO - 2020\2136-CB47.jpg,2136-CB47.jpg,142211,2136
COLEÇÃO - 2020\2136-CB49.jpg,2136-CB49.jpg,151598,2136
COLEÇÃO - 2020\2136-CB50.jpg,2136-CB50.jpg,123652,2136
COLEÇÃO - 2020\2136-CB51.jpg,2136-CB51.jpg,119586,2136
